f,M_ID,ETA,ServT,ETD,P_Rej,P_Arr,P_Dep,Is_VIP
a03,5,101.3,357.1,497.4,4944,30,60,1
a04,5,150.8,226.8,427.6,5121,30,60,1
a05,2,158.2,250.7,436.9,790,10,20,0
a06,2,210.7,136.2,386.9,4754,30,60,1
a07,5,227.8,282.1,537.9,5451,30,60,1
a08,8,239.5,104.2,372.7,5500,30,60,1
a09,1,325.2,209.2,599.4,856,10,20,0
a10,7,343.6,317.2,724.8,5286,30,60,1
a11,7,370.8,291.6,718.4,1138,10,20,0
a12,7,399.7,248.0,671.7,1199,10,20,0
a13,6,431.5,197.9,653.4,5219,30,60,1
a14,4,439.0,207.6,712.6,5029,30,60,1
a15,6,514.7,256.1,824.8,5389,30,60,1
a16,3,563.7,262.6,869.3,1036,10,20,0
a17,8,711.7,369.1,1114.8,5500,30,60,1
a18,8,798.1,221.5,1066.6,5500,30,60,1
a19,5,812.6,192.4,1072.0,5401,30,60,1
a20,3,828.6,139.9,1015.5,1078,10,20,0
