Aircraft_ID,Accepted,Width,Length,ETA,Roll_In,X,Y,ServT,ETD,Roll_Out,D_Arr,D_Dep,Penalty_Reject,Penalty_ArrivalDelay,Penalty_DepartureDelay,Hangar_Width,Hangar_Length,StartDate
a01,1,20,22,0.00,0.00,5.00,5.00,210.00,200.00,210.00,0.00,10.00,0,0,20,65,60,2025-07-15 11:00
a02,1,16,18,0.00,0.00,30.00,5.00,160.00,150.00,160.00,0.00,10.00,0,0,20,65,60,2025-07-15 11:00
a03,0,22,25,101.30,0.00,0.00,0.00,357.10,497.40,0.00,0.00,0.00,4944,30,60,65,60,2025-07-15 11:00
a04,1,22,25,150.80,160.10,32.00,5.00,226.80,427.60,386.90,9.30,0.00,5121,30,60,65,60,2025-07-15 11:00
a05,0,16,18,158.20,0.00,0.00,0.00,250.70,436.90,0.00,0.00,0.00,790,10,20,65,60,2025-07-15 11:00
a06,1,16,18,210.70,210.70,32.00,35.00,136.20,386.90,346.90,0.00,0.00,4754,30,60,65,60,2025-07-15 11:00
a07,1,22,25,227.80,227.80,5.00,5.00,282.10,537.90,534.50,0.00,0.00,5451,30,60,65,60,2025-07-15 11:00
a08,0,48,49,239.50,0.00,0.00,0.00,104.20,372.70,0.00,0.00,0.00,5500,30,60,65,60,2025-07-15 11:00
a09,1,15,17,325.20,325.20,5.00,35.00,209.20,599.40,534.40,0.00,0.00,856,10,20,65,60,2025-07-15 11:00
a10,1,28,28,343.60,387.00,32.00,5.00,317.20,724.80,704.20,43.40,0.00,5286,30,60,65,60,2025-07-15 11:00
