Aircraft_ID,Accepted,Width,Length,ETA,Roll_In,X,Y,ServT,ETD,Roll_Out,D_Arr,D_Dep,Penalty_Reject,Penalty_ArrivalDelay,Penalty_DepartureDelay,Hangar_Width,Hangar_Length,StartDate
a01,1,20,22,0.00,0.00,5,5,210.00,200.00,210.00,0.00,10.00,0,0,20,65,60,2025-08-17 00:28
a02,1,16,18,0.00,0.00,30,5,160.00,150.00,160.00,0.00,10.00,0,0,20,65,60,2025-08-17 00:28
a03,0,22,25,101.30,0.00,0,0,357.10,497.40,0.00,0.00,0.00,4944,30,60,65,60,2025-08-17 00:28
a04,0,22,25,150.80,0.00,0,0,226.80,427.60,0.00,0.00,0.00,5121,30,60,65,60,2025-08-17 00:28
a05,0,16,18,158.20,0.00,0,0,250.70,436.90,0.00,0.00,0.00,790,10,20,65,60,2025-08-17 00:28
a06,0,16,18,210.70,0.00,0,0,136.20,386.90,0.00,0.00,0.00,4754,30,60,65,60,2025-08-17 00:28
a07,1,22,25,227.80,343.80,5,5,282.10,537.90,625.90,116.00,88.00,5451,30,60,65,60,2025-08-17 00:28
a08,1,48,49,239.50,239.50,5,5,104.20,372.70,343.70,0.00,0.00,5500,30,60,65,60,2025-08-17 00:28
a09,0,15,17,325.20,0.00,0,0,209.20,599.40,0.00,0.00,0.00,856,10,20,65,60,2025-08-17 00:28
a10,1,28,28,343.60,344.00,32,5,317.20,724.80,661.20,0.40,0.00,5286,30,60,65,60,2025-08-17 00:28
a11,0,28,28,370.80,0.00,0,0,291.60,718.40,0.00,0.00,0.00,1138,10,20,65,60,2025-08-17 00:28
a12,0,28,28,399.70,0.00,0,0,248.00,671.70,0.00,0.00,0.00,1199,10,20,65,60,2025-08-17 00:28
a13,0,25,30,431.50,0.00,0,0,197.90,653.40,0.00,0.00,0.00,5219,30,60,65,60,2025-08-17 00:28
a14,0,20,22,439.00,0.00,0,0,207.60,712.60,0.00,0.00,0.00,5029,30,60,65,60,2025-08-17 00:28
a15,0,25,30,514.70,0.00,0,0,256.10,824.80,0.00,0.00,0.00,5389,30,60,65,60,2025-08-17 00:28
a16,0,18,20,563.70,0.00,0,0,262.60,869.30,0.00,0.00,0.00,1036,10,20,65,60,2025-08-17 00:28
a17,1,48,49,711.70,711.70,5,5,369.10,1114.80,1080.80,0.00,0.00,5500,30,60,65,60,2025-08-17 00:28
a18,0,48,49,798.10,0.00,0,0,221.50,1066.60,0.00,0.00,0.00,5500,30,60,65,60,2025-08-17 00:28
a19,0,22,25,812.60,0.00,0,0,192.40,1072.00,0.00,0.00,0.00,5401,30,60,65,60,2025-08-17 00:28
a20,0,18,20,828.60,0.00,0,0,139.90,1015.50,0.00,0.00,0.00,1078,10,20,65,60,2025-08-17 00:28
a21,0,25,30,915.10,0.00,0,0,110.30,1052.40,0.00,0.00,0.00,5214,30,60,65,60,2025-08-17 00:28
a22,0,16,18,935.30,0.00,0,0,212.40,1178.70,0.00,0.00,0.00,1111,10,20,65,60,2025-08-17 00:28
a23,0,15,17,976.70,0.00,0,0,393.50,1404.20,0.00,0.00,0.00,955,10,20,65,60,2025-08-17 00:28
a24,1,22,25,1093.70,1093.70,32,5,376.50,1525.20,1470.20,0.00,0.00,5217,30,60,65,60,2025-08-17 00:28
a25,1,22,25,1174.40,1174.40,5,5,143.50,1372.90,1317.90,0.00,0.00,5381,30,60,65,60,2025-08-17 00:28
a26,0,25,30,1200.60,0.00,0,0,292.50,1541.10,0.00,0.00,0.00,1156,10,20,65,60,2025-08-17 00:28
a27,1,22,25,1312.90,1470.60,35,5,351.70,1725.60,1822.30,157.70,96.70,5105,30,60,65,60,2025-08-17 00:28
a28,1,25,30,1366.60,1470.40,5,5,311.90,1725.50,1782.30,103.80,56.80,5176,30,60,65,60,2025-08-17 00:28
a29,0,18,20,1420.00,0.00,0,0,119.70,1586.70,0.00,0.00,0.00,881,10,20,65,60,2025-08-17 00:28
a30,0,22,25,1487.80,0.00,0,0,228.10,1759.90,0.00,0.00,0.00,1120,10,20,65,60,2025-08-17 00:28
a31,0,48,49,1518.50,0.00,0,0,253.70,1825.20,0.00,0.00,0.00,1200,10,20,65,60,2025-08-17 00:28
a32,0,22,25,1534.90,0.00,0,0,368.80,1955.70,0.00,0.00,0.00,1173,10,20,65,60,2025-08-17 00:28
a33,0,28,28,1579.70,0.00,0,0,273.50,1907.20,0.00,0.00,0.00,1172,10,20,65,60,2025-08-17 00:28
a34,0,15,17,1644.90,0.00,0,0,227.80,1924.70,0.00,0.00,0.00,995,10,20,65,60,2025-08-17 00:28
a35,0,16,18,1686.80,0.00,0,0,179.90,1892.70,0.00,0.00,0.00,829,10,20,65,60,2025-08-17 00:28
a36,0,20,22,1817.60,0.00,0,0,299.00,2187.60,0.00,0.00,0.00,5398,30,60,65,60,2025-08-17 00:28
a37,1,48,49,1832.30,1832.30,5,5,159.00,2037.30,1991.30,0.00,0.00,5500,30,60,65,60,2025-08-17 00:28
a38,0,20,22,1916.80,0.00,0,0,284.50,2262.30,0.00,0.00,0.00,4923,30,60,65,60,2025-08-17 00:28
a39,1,48,49,1917.20,1991.50,5,5,393.60,2347.80,2385.10,74.30,37.30,5500,30,60,65,60,2025-08-17 00:28
a40,0,28,28,2072.80,0.00,0,0,359.70,2474.50,0.00,0.00,0.00,5358,30,60,65,60,2025-08-17 00:28
