Aircraft_ID,Accepted,Width,Length,ETA,Roll_In,X,Y,ServT,ETD,Roll_Out,D_Arr,D_Dep,Penalty_Reject,Penalty_ArrivalDelay,Penalty_DepartureDelay,Hangar_Width,Hangar_Length,StartDate
a01,1,20,22,0.00,0.00,5,5,210.00,200.00,210.00,0.00,10.00,0,0,20,65,60,2025-08-17 01:16
a02,1,16,18,0.00,0.00,30,5,160.00,150.00,160.00,0.00,10.00,0,0,20,65,60,2025-08-17 01:16
a03,0,22,25,21.40,0.00,0,0,305.40,370.80,0.00,0.00,0.00,1184,10,20,65,60,2025-08-17 01:16
a04,0,20,22,69.40,0.00,0,0,300.70,436.10,0.00,0.00,0.00,1098,10,20,65,60,2025-08-17 01:16
a05,0,22,25,71.80,0.00,0,0,242.60,385.40,0.00,0.00,0.00,1017,10,20,65,60,2025-08-17 01:16
a06,1,48,49,97.60,210.20,5,5,293.90,436.50,504.10,112.60,67.60,5500,30,60,65,60,2025-08-17 01:16
a07,0,22,25,109.60,0.00,0,0,299.10,456.70,0.00,0.00,0.00,5460,30,60,65,60,2025-08-17 01:16
a08,0,16,18,281.60,0.00,0,0,157.60,486.20,0.00,0.00,0.00,1107,10,20,65,60,2025-08-17 01:16
a09,0,18,20,336.70,0.00,0,0,375.30,744.00,0.00,0.00,0.00,5134,30,60,65,60,2025-08-17 01:16
a10,0,22,25,406.70,0.00,0,0,338.70,814.40,0.00,0.00,0.00,4870,30,60,65,60,2025-08-17 01:16
a11,0,18,20,462.50,0.00,0,0,288.30,804.80,0.00,0.00,0.00,4933,30,60,65,60,2025-08-17 01:16
a12,0,16,18,481.90,0.00,0,0,246.80,778.70,0.00,0.00,0.00,4389,30,60,65,60,2025-08-17 01:16
a13,0,20,22,624.10,0.00,0,0,305.70,985.80,0.00,0.00,0.00,1034,10,20,65,60,2025-08-17 01:16
a14,0,22,25,625.20,0.00,0,0,133.30,798.50,0.00,0.00,0.00,1074,10,20,65,60,2025-08-17 01:16
a15,1,18,20,663.50,663.50,38,5,183.50,878.00,847.00,0.00,0.00,5390,30,60,65,60,2025-08-17 01:16
a16,0,28,28,671.30,0.00,0,0,329.20,1036.50,0.00,0.00,0.00,5309,30,60,65,60,2025-08-17 01:16
a17,1,28,28,673.90,673.90,5,5,183.10,903.00,857.00,0.00,0.00,5460,30,60,65,60,2025-08-17 01:16
a18,0,18,20,684.80,0.00,0,0,192.70,904.50,0.00,0.00,0.00,881,10,20,65,60,2025-08-17 01:16
a19,0,15,17,747.10,0.00,0,0,360.90,1143.00,0.00,0.00,0.00,829,10,20,65,60,2025-08-17 01:16
a20,1,18,20,803.50,847.10,38,5,189.90,1044.40,1037.00,43.60,0.00,1195,10,20,65,60,2025-08-17 01:16
a21,1,15,17,1004.70,1004.70,5,5,117.20,1168.90,1121.90,0.00,0.00,1033,10,20,65,60,2025-08-17 01:16
a22,0,20,22,1046.90,0.00,0,0,392.00,1490.90,0.00,0.00,0.00,961,10,20,65,60,2025-08-17 01:16
a23,1,48,49,1123.20,1123.20,5,5,162.90,1324.10,1286.10,0.00,0.00,5500,30,60,65,60,2025-08-17 01:16
a24,0,22,25,1186.70,0.00,0,0,150.50,1372.20,0.00,0.00,0.00,4865,30,60,65,60,2025-08-17 01:16
a25,1,48,49,1248.40,1286.30,5,5,355.30,1638.70,1641.60,37.90,2.90,5500,30,60,65,60,2025-08-17 01:16
a26,0,16,18,1266.00,0.00,0,0,317.70,1648.70,0.00,0.00,0.00,1102,10,20,65,60,2025-08-17 01:16
a27,0,20,22,1340.50,0.00,0,0,245.30,1639.80,0.00,0.00,0.00,1006,10,20,65,60,2025-08-17 01:16
a28,0,20,22,1441.10,0.00,0,0,352.00,1826.10,0.00,0.00,0.00,4642,30,60,65,60,2025-08-17 01:16
a29,0,22,25,1479.80,0.00,0,0,340.20,1872.00,0.00,0.00,0.00,987,10,20,65,60,2025-08-17 01:16
a30,0,15,17,1482.30,0.00,0,0,389.30,1902.60,0.00,0.00,0.00,1199,10,20,65,60,2025-08-17 01:16
a31,0,15,17,1501.00,0.00,0,0,132.80,1664.80,0.00,0.00,0.00,1003,10,20,65,60,2025-08-17 01:16
a32,1,48,49,1620.00,1641.70,5,5,192.60,1883.60,1834.30,21.70,0.00,5500,30,60,65,60,2025-08-17 01:16
a33,0,18,20,1659.80,0.00,0,0,345.10,2066.90,0.00,0.00,0.00,5172,30,60,65,60,2025-08-17 01:16
a34,0,15,17,1668.20,0.00,0,0,242.20,1972.40,0.00,0.00,0.00,710,10,20,65,60,2025-08-17 01:16
a35,1,15,17,1768.10,1834.60,35,5,192.10,2005.20,2026.70,66.50,21.50,924,10,20,65,60,2025-08-17 01:16
a36,1,18,20,1832.80,1834.40,5,5,106.20,1998.00,1940.60,1.60,0.00,4465,30,60,65,60,2025-08-17 01:16
a37,1,25,30,1964.10,1964.10,5,5,180.90,2196.00,2145.00,0.00,0.00,5498,30,60,65,60,2025-08-17 01:16
a38,0,20,22,2154.20,0.00,0,0,126.70,2308.90,0.00,0.00,0.00,5092,30,60,65,60,2025-08-17 01:16
a39,0,20,22,2179.20,0.00,0,0,109.00,2349.20,0.00,0.00,0.00,1094,10,20,65,60,2025-08-17 01:16
a40,0,15,17,2192.80,0.00,0,0,142.70,2378.50,0.00,0.00,0.00,1149,10,20,65,60,2025-08-17 01:16
a41,1,48,49,2252.60,2252.60,5,5,282.20,2577.80,2534.80,0.00,0.00,5500,30,60,65,60,2025-08-17 01:16
a42,0,25,30,2252.70,0.00,0,0,257.70,2562.40,0.00,0.00,0.00,5119,30,60,65,60,2025-08-17 01:16
a43,0,28,28,2256.50,0.00,0,0,310.90,2616.40,0.00,0.00,0.00,5317,30,60,65,60,2025-08-17 01:16
a44,1,22,25,2363.90,2535.00,5,5,178.80,2580.70,2713.80,171.10,133.10,5349,30,60,65,60,2025-08-17 01:16
a45,0,25,30,2516.60,0.00,0,0,279.20,2853.80,0.00,0.00,0.00,5208,30,60,65,60,2025-08-17 01:16
a46,1,16,18,2519.90,2535.10,32,5,154.70,2738.60,2689.80,15.20,0.00,1169,10,20,65,60,2025-08-17 01:16
a47,0,22,25,2538.10,0.00,0,0,370.20,2959.30,0.00,0.00,0.00,5039,30,60,65,60,2025-08-17 01:16
a48,1,22,25,2740.70,2740.70,38,5,117.00,2897.70,2857.70,0.00,0.00,1127,10,20,65,60,2025-08-17 01:16
a49,1,28,28,2753.30,2753.30,5,5,109.90,2906.20,2863.20,0.00,0.00,5423,30,60,65,60,2025-08-17 01:16
a50,1,48,49,2906.50,2906.50,5,5,146.00,3105.50,3052.50,0.00,0.00,5500,30,60,65,60,2025-08-17 01:16
a51,1,22,25,2906.80,3052.70,5,5,219.30,3163.10,3272.00,145.90,108.90,4972,30,60,65,60,2025-08-17 01:16
a52,0,22,25,2944.60,0.00,0,0,199.70,3169.30,0.00,0.00,0.00,1040,10,20,65,60,2025-08-17 01:16
a53,0,15,17,3040.80,0.00,0,0,316.10,3403.90,0.00,0.00,0.00,995,10,20,65,60,2025-08-17 01:16
a54,0,18,20,3221.10,0.00,0,0,207.00,3496.10,0.00,0.00,0.00,927,10,20,65,60,2025-08-17 01:16
a55,1,48,49,3289.50,3289.50,5,5,144.30,3490.80,3433.80,0.00,0.00,5500,30,60,65,60,2025-08-17 01:16
a56,1,20,22,3314.00,3434.00,5,5,263.60,3606.60,3697.60,120.00,91.00,4902,30,60,65,60,2025-08-17 01:16
a57,1,18,20,3499.50,3499.50,30,5,347.90,3871.40,3847.40,0.00,0.00,1169,10,20,65,60,2025-08-17 01:16
a58,0,18,20,3587.60,0.00,0,0,152.50,3788.10,0.00,0.00,0.00,1069,10,20,65,60,2025-08-17 01:16
a59,0,25,30,3639.60,0.00,0,0,254.80,3944.40,0.00,0.00,0.00,1127,10,20,65,60,2025-08-17 01:16
