Aircraft_ID,Accepted,Width,Length,ETA,Roll_In,X,Y,ServT,ETD,Roll_Out,D_Arr,D_Dep,Penalty_Reject,Penalty_ArrivalDelay,Penalty_DepartureDelay,Hangar_Width,Hangar_Length,StartDate
a01,1,20,22,0.00,0.00,5,5,210.00,200.00,210.00,0.00,10.00,0,0,20,65,60,2025-08-17 01:37
a02,1,16,18,0.00,0.00,30,5,160.00,150.00,160.00,0.00,10.00,0,0,20,65,60,2025-08-17 01:37
a03,1,18,20,48.70,48.70,5,32,126.90,239.60,175.60,0.00,0.00,922,10,20,65,60,2025-08-17 01:37
a04,1,20,22,90.60,160.20,35,5,363.50,482.10,523.70,69.60,41.60,5003,30,60,65,60,2025-08-17 01:37
a05,0,15,17,323.70,0.00,0,0,308.80,701.50,0.00,0.00,0.00,755,10,20,65,60,2025-08-17 01:37
a06,0,22,25,365.60,0.00,0,0,169.00,592.60,0.00,0.00,0.00,1026,10,20,65,60,2025-08-17 01:37
a07,0,25,30,390.00,0.00,0,0,157.60,589.60,0.00,0.00,0.00,1061,10,20,65,60,2025-08-17 01:37
a08,1,25,30,426.70,426.70,5,5,271.00,744.70,697.70,0.00,0.00,5284,30,60,65,60,2025-08-17 01:37
a09,0,16,18,612.90,0.00,0,0,304.50,969.40,0.00,0.00,0.00,5331,30,60,65,60,2025-08-17 01:37
a10,0,16,18,633.00,0.00,0,0,179.10,876.10,0.00,0.00,0.00,920,10,20,65,60,2025-08-17 01:37
a11,0,18,20,638.80,0.00,0,0,340.50,1018.30,0.00,0.00,0.00,902,10,20,65,60,2025-08-17 01:37
a12,0,15,17,753.60,0.00,0,0,158.20,948.80,0.00,0.00,0.00,713,10,20,65,60,2025-08-17 01:37
a13,1,20,22,792.30,792.30,30,5,137.30,981.60,929.60,0.00,0.00,5364,30,60,65,60,2025-08-17 01:37
a14,1,28,28,817.40,929.70,30,5,392.10,1261.50,1321.80,112.30,60.30,5316,30,60,65,60,2025-08-17 01:37
a15,1,20,22,868.60,868.60,5,5,245.30,1162.90,1113.90,0.00,0.00,5485,30,60,65,60,2025-08-17 01:37
a16,0,22,25,1102.10,0.00,0,0,240.40,1403.50,0.00,0.00,0.00,5155,30,60,65,60,2025-08-17 01:37
a17,1,16,18,1198.60,1198.60,5,5,123.40,1364.00,1322.00,0.00,0.00,5277,30,60,65,60,2025-08-17 01:37
a18,0,22,25,1202.70,0.00,0,0,367.60,1632.30,0.00,0.00,0.00,1058,10,20,65,60,2025-08-17 01:37
a19,1,15,17,1319.00,1322.20,38,5,128.60,1474.60,1450.80,3.20,0.00,1199,10,20,65,60,2025-08-17 01:37
a20,1,28,28,1357.90,1357.90,5,5,219.60,1630.50,1577.50,0.00,0.00,5364,30,60,65,60,2025-08-17 01:37
a21,0,20,22,1619.10,0.00,0,0,394.30,2079.40,0.00,0.00,0.00,5231,30,60,65,60,2025-08-17 01:37
a22,1,16,18,1632.40,1632.40,5,5,264.40,1930.80,1896.80,0.00,0.00,826,10,20,65,60,2025-08-17 01:37
a23,1,48,49,2002.80,2002.80,5,5,170.50,2205.30,2173.30,0.00,0.00,5500,30,60,65,60,2025-08-17 01:37
a24,1,25,30,2010.40,2173.50,5,5,140.30,2199.70,2313.80,163.10,114.10,5497,30,60,65,60,2025-08-17 01:37
a25,0,25,30,2012.90,0.00,0,0,233.40,2277.30,0.00,0.00,0.00,5228,30,60,65,60,2025-08-17 01:37
a26,0,28,28,2171.70,0.00,0,0,311.70,2528.40,0.00,0.00,0.00,5339,30,60,65,60,2025-08-17 01:37
a27,1,25,30,2219.30,2219.30,35,5,154.60,2443.90,2373.90,0.00,0.00,5419,30,60,65,60,2025-08-17 01:37
a28,1,25,30,2219.80,2374.10,32,5,329.70,2593.50,2703.80,154.30,110.30,5340,30,60,65,60,2025-08-17 01:37
a29,0,20,22,2458.30,0.00,0,0,388.80,2872.10,0.00,0.00,0.00,941,10,20,65,60,2025-08-17 01:37
a30,1,22,25,2503.40,2503.40,5,5,314.20,2848.60,2817.60,0.00,0.00,5446,30,60,65,60,2025-08-17 01:37
a31,0,16,18,2505.30,0.00,0,0,207.10,2748.40,0.00,0.00,0.00,4883,30,60,65,60,2025-08-17 01:37
a32,0,15,17,2536.10,0.00,0,0,185.00,2791.10,0.00,0.00,0.00,849,10,20,65,60,2025-08-17 01:37
a33,0,25,30,2614.40,0.00,0,0,346.90,3010.30,0.00,0.00,0.00,5131,30,60,65,60,2025-08-17 01:37
a34,1,48,49,2967.00,2967.00,5,5,263.40,3261.40,3230.40,0.00,0.00,5500,30,60,65,60,2025-08-17 01:37
a35,0,48,49,2996.90,0.00,0,0,369.60,3436.50,0.00,0.00,0.00,5500,30,60,65,60,2025-08-17 01:37
