Aircraft_ID,Accepted,Width,Length,ETA,Roll_In,X,Y,ServT,ETD,Roll_Out,D_Arr,D_Dep,Penalty_Reject,Penalty_ArrivalDelay,Penalty_DepartureDelay,Hangar_Width,Hangar_Length,StartDate
a01,1,20,22,0.00,0.00,5,5,210.00,200.00,210.00,0.00,10.00,0,0,20,65,60,2025-08-17 01:20
a02,1,16,18,0.00,0.00,30,5,160.00,150.00,160.00,0.00,10.00,0,0,20,65,60,2025-08-17 01:20
a03,0,15,17,2.80,0.00,0,0,368.70,406.50,0.00,0.00,0.00,1191,10,20,65,60,2025-08-17 01:20
a04,0,18,20,59.50,0.00,0,0,205.00,289.50,0.00,0.00,0.00,4745,30,60,65,60,2025-08-17 01:20
a05,0,25,30,99.70,0.00,0,0,363.90,530.60,0.00,0.00,0.00,1091,10,20,65,60,2025-08-17 01:20
a06,0,18,20,117.80,0.00,0,0,326.50,511.30,0.00,0.00,0.00,5481,30,60,65,60,2025-08-17 01:20
a07,1,48,49,233.10,233.10,5,5,282.10,552.20,515.20,0.00,0.00,5500,30,60,65,60,2025-08-17 01:20
a08,0,16,18,392.30,0.00,0,0,153.50,580.80,0.00,0.00,0.00,1138,10,20,65,60,2025-08-17 01:20
a09,0,20,22,496.60,0.00,0,0,179.70,734.30,0.00,0.00,0.00,937,10,20,65,60,2025-08-17 01:20
a10,0,15,17,496.90,0.00,0,0,156.70,707.60,0.00,0.00,0.00,1085,10,20,65,60,2025-08-17 01:20
a11,1,18,20,542.10,542.10,32,5,132.20,728.30,674.30,0.00,0.00,1198,10,20,65,60,2025-08-17 01:20
a12,0,22,25,554.40,0.00,0,0,329.70,923.10,0.00,0.00,0.00,986,10,20,65,60,2025-08-17 01:20
a13,1,22,25,563.70,563.70,5,5,121.40,730.10,685.10,0.00,0.00,5433,30,60,65,60,2025-08-17 01:20
a14,1,22,25,716.00,716.00,5,5,239.20,997.20,955.20,0.00,0.00,5146,30,60,65,60,2025-08-17 01:20
a15,1,20,22,765.30,765.30,32,5,159.10,974.40,924.40,0.00,0.00,4840,30,60,65,60,2025-08-17 01:20
a16,0,20,22,786.30,0.00,0,0,358.10,1184.40,0.00,0.00,0.00,1023,10,20,65,60,2025-08-17 01:20
a17,0,28,28,860.70,0.00,0,0,221.50,1136.20,0.00,0.00,0.00,1136,10,20,65,60,2025-08-17 01:20
a18,0,15,17,876.20,0.00,0,0,158.80,1084.00,0.00,0.00,0.00,721,10,20,65,60,2025-08-17 01:20
a19,1,15,17,1053.20,1053.20,5,5,154.50,1252.70,1207.70,0.00,0.00,1137,10,20,65,60,2025-08-17 01:20
a20,1,25,30,1068.20,1068.20,30,5,259.60,1377.80,1327.80,0.00,0.00,1179,10,20,65,60,2025-08-17 01:20
a21,1,20,22,1246.50,1246.50,5,5,119.20,1389.70,1365.70,0.00,0.00,5423,30,60,65,60,2025-08-17 01:20
a22,1,15,17,1344.50,1344.50,30,5,127.40,1536.90,1471.90,0.00,0.00,808,10,20,65,60,2025-08-17 01:20
a23,0,16,18,1344.70,0.00,0,0,235.00,1620.70,0.00,0.00,0.00,928,10,20,65,60,2025-08-17 01:20
a24,0,18,20,1461.40,0.00,0,0,126.00,1630.40,0.00,0.00,0.00,985,10,20,65,60,2025-08-17 01:20
a25,1,18,20,1497.20,1497.20,35,5,121.40,1647.60,1618.60,0.00,0.00,1033,10,20,65,60,2025-08-17 01:20
a26,0,25,30,1513.70,0.00,0,0,195.20,1752.90,0.00,0.00,0.00,1095,10,20,65,60,2025-08-17 01:20
a27,1,25,30,1528.90,1528.90,5,5,106.60,1706.50,1635.50,0.00,0.00,5094,30,60,65,60,2025-08-17 01:20
a28,1,15,17,1532.80,1618.80,38,5,126.00,1701.80,1744.80,86.00,43.00,903,10,20,65,60,2025-08-17 01:20
a29,0,22,25,1603.60,0.00,0,0,308.50,1974.10,0.00,0.00,0.00,1007,10,20,65,60,2025-08-17 01:20
a30,0,18,20,1622.80,0.00,0,0,373.50,2045.30,0.00,0.00,0.00,1002,10,20,65,60,2025-08-17 01:20
a31,1,28,28,1670.40,1670.40,5,5,290.00,2019.40,1960.40,0.00,0.00,5383,30,60,65,60,2025-08-17 01:20
a32,0,18,20,1680.50,0.00,0,0,242.40,1980.90,0.00,0.00,0.00,977,10,20,65,60,2025-08-17 01:20
a33,0,15,17,1685.20,0.00,0,0,354.80,2080.00,0.00,0.00,0.00,921,10,20,65,60,2025-08-17 01:20
a34,1,20,22,1794.20,1794.20,38,5,160.60,2010.80,1954.80,0.00,0.00,1096,10,20,65,60,2025-08-17 01:20
a35,0,20,22,1853.50,0.00,0,0,355.70,2244.20,0.00,0.00,0.00,4743,30,60,65,60,2025-08-17 01:20
a36,1,22,25,1968.00,1968.00,5,5,105.90,2137.90,2073.90,0.00,0.00,5450,30,60,65,60,2025-08-17 01:20
a37,0,18,20,2023.60,0.00,0,0,161.30,2210.90,0.00,0.00,0.00,4906,30,60,65,60,2025-08-17 01:20
a38,1,48,49,2081.20,2081.20,5,5,328.00,2440.20,2409.20,0.00,0.00,5500,30,60,65,60,2025-08-17 01:20
a39,0,20,22,2136.90,0.00,0,0,107.40,2277.30,0.00,0.00,0.00,1168,10,20,65,60,2025-08-17 01:20
a40,0,28,28,2215.20,0.00,0,0,368.50,2635.70,0.00,0.00,0.00,5461,30,60,65,60,2025-08-17 01:20
a41,0,16,18,2235.80,0.00,0,0,262.10,2527.90,0.00,0.00,0.00,957,10,20,65,60,2025-08-17 01:20
a42,0,25,30,2259.20,0.00,0,0,361.50,2686.70,0.00,0.00,0.00,1063,10,20,65,60,2025-08-17 01:20
a43,1,18,20,2264.70,2409.60,30,5,167.90,2481.60,2577.50,144.90,95.90,4471,30,60,65,60,2025-08-17 01:20
a44,1,20,22,2392.80,2409.40,5,5,325.90,2769.70,2735.30,16.60,0.00,5213,30,60,65,60,2025-08-17 01:20
a45,0,16,18,2665.10,0.00,0,0,375.60,3085.70,0.00,0.00,0.00,866,10,20,65,60,2025-08-17 01:20
a46,0,25,30,2670.20,0.00,0,0,304.30,3000.50,0.00,0.00,0.00,1181,10,20,65,60,2025-08-17 01:20
a47,1,28,28,2748.90,2748.90,5,5,338.30,3135.20,3087.20,0.00,0.00,5311,30,60,65,60,2025-08-17 01:20
a48,0,20,22,2755.20,0.00,0,0,394.20,3193.40,0.00,0.00,0.00,1132,10,20,65,60,2025-08-17 01:20
a49,1,18,20,2765.40,2765.40,38,5,136.00,2971.40,2901.40,0.00,0.00,5246,30,60,65,60,2025-08-17 01:20
a50,0,18,20,2880.50,0.00,0,0,195.30,3115.80,0.00,0.00,0.00,1112,10,20,65,60,2025-08-17 01:20
a51,1,20,22,3088.30,3088.30,30,5,346.20,3476.50,3434.50,0.00,0.00,4863,30,60,65,60,2025-08-17 01:20
